Censo,grey
Votantes,grey
Nulos,grey
Validos,grey
Blancos,grey
PP,blue
PSOE,red
PODEMOS,purple
CS,orange
ERC,yellow
CDC,orange
PNV,olive
BILDU,green
CCA,gold
PACMA,green
VERDES,green
UPYD,pink
VOX,green
BNG-CG-FOGA-PCPG-PG,aqua
IU-UP,maroon
PCPE,darkred
unio.cat,darkblue
DL,darkviolet
Mes,yellowgreen
GBAI,indianred
IU-LV,olive
AMAIUR,lightblue
ERC/ESQUERRA,khaki
BNG,lightsteelblue
CC-NC-PNC,lightyellow
FAC,darkmagenta
COMPROMIS,darkorange
EQUO,forestgreen
PA,limegreen
PxC,slategray
PRC,goldenrod
CiU,mediumblue
OTROS,grey
PSE-EE/PSOE,olivedrab
PP-PAR,crimson
Escanos en blanco,black
ERPV,darkorange
PP-EU,steelblue
IU-V-SIEX,indianred
PSM-IV-EXM-EQUO,forestgreen
ERC-RI.cat,darkorange
EUPV-EV,red
IULV-CA,red
IUCL,red
EUIB,red
ESQUERRA,orange
ICV-EUiA,red
IUCLM-LV,red
PSC-PSOE,salmon
PSdeG-PSOE,salmon
EU-V,salmon
ChA-IU,red
ERC-RI.cat/ESQUERRA,darkorange
IUV-RM,red
UPN-PP,darkblue
IZQUIERDA-EZKERRA,red
IU-IX,red
IUC-IpH-LV,red
SSP-SxTF-EQUO,darkred
IU-PSDC,red
IU,red
IUC,red
PODEMOS-AD,purple
PODEMOS-COMPROMIS,tomato
COMUN,deeppink
PCPC,red
PODEMOS-En Marea-ANOVA-EU,purple
PODEMOS-AA,purple
PP-FORO,darkblue
PSOE-NCa,moccasin
